2020-05-08  10:53,1258557279273508865,"RT @Jade_Tiger62: If your news source is their ABC, 
If climate change keeps up at night,
If you're outraged by those without the ""app"",
If…",2020-05-08 00:40:12,,,,"Melbourne, Victoria"
2020-05-08  10:53,1258556312725536768,"@BackFromTen @TIVAking77 Far out, how did my love for TIVA get us to peri-climate change is a hoax territory",2020-05-08 00:36:22,,,,"Melbourne, Australia"
2020-05-08  10:53,1258554676569444354,"RT @ClimateWorksAus: ""Climate action is a vital protection against further global shocks, especially as governments plan their post-pandemi…",2020-05-08 00:29:52,,,,Australia
2020-05-08  10:53,1258554478560546818,"Predictions on what the post-pandemic landscape will look like - from the rise of the local-first approach by governments and businesses, to the pivot in thinking around climate change. 

#coronavirus #COVID19 #COVID19AUS #COVID_19 #auspol @kpmgaustralia https://t.co/aO7nZ3jjZA",2020-05-08 00:29:05,,,,"Melbourne, Australia"
2020-05-08  10:53,1258551509941252096,RT @yoha_villalobos: and here I am in my pyjamas #shareEGU live chat session ITS5.2/AS3.17 - Science-based Greenhouse Gas Emission Estimate…,2020-05-08 00:17:17,,,,"Melbourne, Victoria"
2020-05-08  10:53,1258551418249555969,We must urgently align COVID #stimulus measures to projects that address #climate change. https://t.co/zR3DRFoQvy,2020-05-08 00:16:55,,,,"Melbourne, Victoria"
2020-05-08  10:53,1258549752309796866,Why it doesn't make economic sense to ignore climate change in our recovery from the pandemic https://t.co/PXkKGY5TPM via @ConversationEDU,2020-05-08 00:10:18,,,,"Melbourne, Victoria"
2020-05-08  10:53,1258548475358134272,"RT @BieglerTom: @TricksyRaccoon @RadicalGoats If I had to propose acceptable technology solutions to climate change, and the bar was set wi…",2020-05-08 00:05:13,,,,Australia
2020-05-08  10:53,1258547662661406720,"@frankjotzo @Climate_Policy PROPOSAL/PETITION

Can networked renewable energy generation out perform large scale fossil fuel powered electricity generation?

I reckon it can.

Please sign and/or share this petition if you agree.

https://t.co/mEfrROwxo4",2020-05-08 00:02:00,,,,Mornington Victoria Australia
2020-05-08  10:53,1258546067223674881,"Michael Mann on 'Planet of the Humans' film:

""Moore and Gibbs are setting back the cause of societal and economic decarbonization..""
 https://t.co/KXhRDj70Co",2020-05-07 23:55:39,,,,Melbourne
2020-05-08  10:53,1258544648433266688,"@RitaPanahi Theres such a common theme with these delusionals from the left, hysteria whether we are talking climate change, MediCare, CoVid19, Immigration, LGBT, Terrorism, Racism.....they have no arguments, no common sense just unhinged hysteria",2020-05-07 23:50:01,,,,"Port Melbourne, Australia"
2020-05-08  10:53,1258544362243284992,"RT @NickAberle: A remarkable op-ed. Heads of major organisations representing industry, social sector and investors jointly pen a piece cal…",2020-05-07 23:48:53,,,,
2020-05-08  10:53,1258544007996571651,RT @alan_john_moran: Turnbull demonstrates his value in always offering the wrong advice.  His focus is on the chimera of climate change an…,2020-05-07 23:47:28,,,,Somewhere near mars
2020-05-08  10:53,1258543872386273283,RT @rohan_connolly: Richard Flanagan has written a piece just published in The New York Times @nytimes. Just read it and see how it makes y…,2020-05-07 23:46:56,,,,
2020-05-08  10:53,1258540975703519232,"RT @IGCC_Update: Why it doesn’t make economic sense to ignore climate change in our recovery from the pandemic
https://t.co/HcXKl3koa5",2020-05-07 23:35:25,,,,"Chapel Hill, North Carolina US"
2020-05-08  10:53,1258540228098142208,RT @IGCC_Update: Australia has found common ground to respond to Covid-19. We can do the same for climate change. A joint piece in @Guardia…,2020-05-07 23:32:27,,,,"Melbourne, Australia"
2020-05-08  10:53,1258539675393781760,RT @rohan_connolly: Richard Flanagan has written a piece just published in The New York Times @nytimes. Just read it and see how it makes y…,2020-05-07 23:30:15,,,,Melbourne
